NumOfWords,NumOfChar,NumOfPunc,NumOfContPunc,NumOfContUpperCase,Bi-freq,un-freq,tri-freq,Label
11,76,0,0,0,18,10,24,1
9,61,0,0,0,6,4,6,0
8,38,1,0,0,6,4,6,1
7,48,0,0,0,2,2,1,1
8,72,0,0,0,6,4,6,0
14,85,1,0,0,10,6,12,0
11,71,0,0,0,6,4,6,1
9,53,0,0,1,8,5,9,1
7,42,0,0,0,10,6,12,1
12,70,0,0,0,1,1,1,1
7,46,0,0,0,2,2,1,1
9,65,1,1,0,6,4,6,1
8,43,0,0,0,6,4,6,0
11,64,1,0,0,8,5,9,1
5,32,1,0,0,2,2,1,1
16,85,1,0,13,18,10,24,1
13,91,1,0,3,10,6,12,1
8,51,0,0,0,8,5,9,1
6,35,0,0,0,2,2,1,1
12,73,0,0,0,8,5,9,1
11,74,1,1,0,2,2,1,0
10,79,1,0,0,6,4,6,0
6,51,0,0,0,10,6,12,1
11,73,0,0,0,8,5,9,0
10,67,0,0,0,10,6,12,0
6,48,2,0,0,8,5,9,1
6,42,0,0,0,2,2,1,0
14,75,0,0,0,12,7,15,0
12,75,0,0,1,10,6,12,0
11,73,1,0,1,10,6,12,1
14,73,0,0,2,6,4,6,0
14,78,0,0,0,6,4,6,0
6,40,3,0,0,2,2,1,1
13,82,0,0,0,8,5,9,1
13,72,0,0,0,2,2,1,0
14,96,0,0,0,8,5,9,1
13,86,1,0,1,10,6,12,1
8,44,0,0,0,6,4,6,1
8,55,0,0,0,6,4,6,1
11,88,0,0,0,12,7,15,1
11,69,0,0,0,4,3,3,1
11,70,0,0,0,6,4,6,0
10,63,0,0,0,4,3,3,0
11,75,0,0,0,4,3,3,1
16,92,1,0,0,10,6,12,1
8,50,1,0,1,6,4,6,1
8,65,0,0,0,4,3,3,1
11,73,1,0,0,6,4,6,1
14,99,0,0,0,6,4,6,1
15,86,0,1,0,4,3,3,0
8,51,0,0,0,8,5,9,0
5,34,0,0,0,2,2,1,1
14,79,0,0,0,10,6,12,1
11,54,1,0,0,10,6,12,1
11,60,0,0,1,6,4,6,1
7,44,0,0,0,2,2,1,1
13,85,0,0,0,8,5,9,1
11,78,1,0,1,12,7,15,1
19,104,1,0,0,18,10,24,1
12,82,1,0,0,12,7,15,0
9,65,0,0,0,6,4,6,1
10,66,0,0,0,6,4,6,0
11,62,0,0,1,8,5,9,0
12,68,0,0,1,8,5,9,0
12,80,1,0,2,8,5,9,1
10,57,0,0,0,4,3,3,0
10,62,1,0,0,10,6,12,1
10,64,2,0,0,10,6,12,1
8,57,1,0,1,6,4,6,1
12,71,0,0,0,6,4,6,0
22,126,0,0,0,14,8,18,1
10,78,0,0,1,10,6,12,0
12,72,0,0,0,10,6,12,0
11,83,0,0,0,8,5,9,1
9,49,0,0,0,8,5,9,1
9,66,0,0,0,8,5,9,0
9,64,0,0,0,10,6,12,0
12,67,0,0,0,12,7,15,0
9,55,1,0,0,8,5,9,1
11,67,0,0,1,10,6,12,0
5,34,1,0,0,1,1,1,1
10,57,2,0,0,8,5,9,1
11,57,0,0,1,4,3,3,1
11,73,1,0,0,8,5,9,0
12,74,1,0,0,8,5,9,0
12,78,2,0,0,10,6,12,1
14,87,1,0,0,6,4,6,1
4,30,1,0,1,2,2,1,1
12,74,1,0,0,6,4,6,0
18,109,2,0,1,20,11,27,1
13,73,0,0,0,6,4,6,0
14,79,0,0,1,10,6,12,1
17,105,1,0,3,10,6,12,1
9,67,0,0,0,4,3,3,0
12,69,0,0,1,6,4,6,0
15,101,0,0,1,30,16,42,1
9,70,0,0,0,6,4,6,0
12,70,1,1,0,10,6,12,0
12,80,0,0,0,6,4,6,1
15,78,0,0,0,10,6,12,1
13,77,1,0,1,10,6,12,1
12,75,0,0,0,12,7,15,1
9,56,0,0,0,8,5,9,1
9,43,2,0,0,4,3,3,1
7,36,1,0,0,8,5,9,1
12,73,0,0,0,10,6,12,0
9,61,1,0,0,12,7,15,1
8,43,1,0,0,4,3,3,1
17,116,2,0,2,20,11,27,1
11,68,1,0,0,6,4,6,0
7,34,0,0,1,2,2,1,1
7,45,0,0,1,8,5,9,1
11,66,0,0,1,6,4,6,0
13,79,0,0,7,10,6,12,1
11,63,1,0,0,8,5,9,1
10,60,2,0,0,8,5,9,0
